Skipping import of cpp extensions due to incompatible torch version 2.9.0+cu128 for torchao version 0.15.0             Please see https://github.com/pytorch/ao/issues/2919 for more info
Model: 1439M
BP gradients: 170 layers
ZO gradients: 170 layers, dd=-0.098705

Layer                                               cos_sim    bp_norm    zo_norm
model.layers.22.self_attn.k_proj.weight              0.0001     0.0417     0.0987
model.layers.22.self_attn.o_proj.weight             -0.0002     0.5614     0.0988
model.layers.22.self_attn.q_proj.weight             -0.0002     0.0418     0.0987
model.layers.22.self_attn.v_proj.weight             -0.0002     0.5600     0.0987
model.layers.23.mlp.down_proj.weight                -0.0005     0.4703     0.0988
model.layers.23.mlp.gate_proj.weight                -0.0002     0.4626     0.0988
model.layers.23.mlp.up_proj.weight                  -0.0004     0.4518     0.0988
model.layers.23.self_attn.k_proj.weight              0.0006     0.0412     0.0987
model.layers.23.self_attn.o_proj.weight             -0.0002     0.5417     0.0988
model.layers.23.self_attn.q_proj.weight             -0.0002     0.0424     0.0986
model.layers.23.self_attn.v_proj.weight              0.0002     0.5334     0.0987
model.layers.3.mlp.down_proj.weight                  0.0008     1.7311     0.0988
model.layers.3.mlp.gate_proj.weight                  0.0001     1.7308     0.0988
model.layers.3.mlp.up_proj.weight                   -0.0001     1.7476     0.0988
model.layers.3.self_attn.k_proj.weight              -0.0004     0.2025     0.0987
model.layers.3.self_attn.o_proj.weight               0.0007     2.3207     0.0987
model.layers.3.self_attn.q_proj.weight              -0.0005     0.2040     0.0987
model.layers.3.self_attn.v_proj.weight              -0.0008     2.2822     0.0987
model.layers.4.mlp.down_proj.weight                  0.0002     1.4692     0.0988
model.layers.4.mlp.gate_proj.weight                 -0.0002     1.4455     0.0988
model.layers.4.mlp.up_proj.weight                   -0.0002     1.4712     0.0988
model.layers.4.self_attn.k_proj.weight               0.0002     0.1610     0.0987
model.layers.4.self_attn.o_proj.weight              -0.0004     1.8980     0.0988
model.layers.4.self_attn.q_proj.weight               0.0001     0.1620     0.0987
model.layers.4.self_attn.v_proj.weight              -0.0000     1.9015     0.0987
model.layers.5.mlp.down_proj.weight                 -0.0005     1.3505     0.0988
model.layers.5.mlp.gate_proj.weight                 -0.0001     1.2810     0.0988
model.layers.5.mlp.up_proj.weight                    0.0000     1.3266     0.0988
model.layers.5.self_attn.k_proj.weight               0.0004     0.1368     0.0987
model.layers.5.self_attn.o_proj.weight              -0.0003     1.6615     0.0987
model.layers.5.self_attn.q_proj.weight               0.0002     0.1357     0.0987
model.layers.5.self_attn.v_proj.weight              -0.0004     1.6614     0.0987
model.layers.6.mlp.down_proj.weight                  0.0004     1.1587     0.0988
model.layers.6.mlp.gate_proj.weight                 -0.0002     1.1297     0.0988
model.layers.6.mlp.up_proj.weight                    0.0004     1.1920     0.0988
model.layers.6.self_attn.k_proj.weight               0.0003     0.1222     0.0987
model.layers.6.self_attn.o_proj.weight              -0.0003     1.4547     0.0987
model.layers.6.self_attn.q_proj.weight               0.0000     0.1209     0.0987
model.layers.6.self_attn.v_proj.weight               0.0001     1.4688     0.0987
model.layers.7.mlp.down_proj.weight                 -0.0000     1.0777     0.0988
model.layers.7.mlp.gate_proj.weight                  0.0000     1.0647     0.0988
model.layers.7.mlp.up_proj.weight                    0.0001     1.0689     0.0988
model.layers.7.self_attn.k_proj.weight               0.0003     0.1013     0.0988
model.layers.7.self_attn.o_proj.weight               0.0002     1.3443     0.0987
model.layers.7.self_attn.q_proj.weight              -0.0004     0.1021     0.0987
model.layers.7.self_attn.v_proj.weight               0.0008     1.3489     0.0987
model.layers.8.mlp.down_proj.weight                 -0.0001     0.9773     0.0988
model.layers.8.mlp.gate_proj.weight                 -0.0002     0.9673     0.0988
model.layers.8.mlp.up_proj.weight                    0.0002     0.9865     0.0989
model.layers.8.self_attn.k_proj.weight              -0.0010     0.1017     0.0987
model.layers.8.self_attn.o_proj.weight               0.0002     1.2277     0.0987
model.layers.8.self_attn.q_proj.weight               0.0006     0.0999     0.0986
model.layers.8.self_attn.v_proj.weight              -0.0004     1.2735     0.0987
model.layers.9.mlp.down_proj.weight                 -0.0003     0.9091     0.0988
model.layers.9.mlp.gate_proj.weight                 -0.0001     0.9012     0.0989
model.layers.9.mlp.up_proj.weight                    0.0001     0.9220     0.0988
model.layers.9.self_attn.k_proj.weight              -0.0003     0.0982     0.0988
model.layers.9.self_attn.o_proj.weight              -0.0008     1.1323     0.0988
model.layers.9.self_attn.q_proj.weight               0.0002     0.0981     0.0986
model.layers.9.self_attn.v_proj.weight              -0.0005     1.1333     0.0987

Overall mean cosine sim: -0.0000
Min: model.layers.2.self_attn.v_proj.weight = -0.0012
Max: model.layers.10.self_attn.v_proj.weight = 0.0009
>0.5: 0/170
>0.1: 0/170
>0.01: 0/170

By layer depth:
  Layer  0: mean=-0.0002, n=7
  Layer  1: mean=0.0001, n=7
  Layer  2: mean=0.0000, n=7
  Layer  3: mean=-0.0000, n=7
  Layer  4: mean=-0.0000, n=7
  Layer  5: mean=-0.0001, n=7
  Layer  6: mean=0.0001, n=7
  Layer  7: mean=0.0001, n=7
  Layer  8: mean=-0.0001, n=7
  Layer  9: mean=-0.0002, n=7
  Layer 10: mean=0.0001, n=7
  Layer 11: mean=-0.0004, n=7
  Layer 12: mean=0.0001, n=7
  Layer 13: mean=-0.0001, n=7
  Layer 14: mean=-0.0001, n=7
  Layer 15: mean=-0.0001, n=7
  Layer 16: mean=0.0001, n=7
  Layer 17: mean=-0.0000, n=7
  Layer 18: mean=0.0001, n=7
  Layer 19: mean=0.0002, n=7
  Layer 20: mean=0.0002, n=7
  Layer 21: mean=-0.0002, n=7
  Layer 22: mean=-0.0001, n=7
  Layer 23: mean=-0.0001, n=7
